time	V(out)	V(n003)
1.277238044250134e-04	2.872347012214876e+01	1.500000000000000e+01
1.281529400167483e-04	2.760996474348421e+01	1.500000000000000e+01
1.286412212667483e-04	2.543229400998995e+01	1.500000000000000e+01
1.291295025167483e-04	2.247807860860113e+01	1.500000000000000e+01
1.296177837667483e-04	1.894734675389658e+01	1.500000000000000e+01
1.301060650167483e-04	1.511606933068911e+01	1.500000000000000e+01
1.305943462667483e-04	1.128308667841052e+01	1.500000000000000e+01
1.310826275167483e-04	7.746800086678877e+00	1.500000000000000e+01
1.315709087667483e-04	4.781942069496688e+00	1.500000000000000e+01
1.320591900167483e-04	2.618233703482387e+00	1.500000000000000e+01
1.325474712667483e-04	1.362145298320848e+00	1.500000000000000e+01
1.329271949940651e-04	1.142988951345065e+00	1.500000000000000e+01
1.333680525723239e-04	1.784582806967471e+00	1.500000000000000e+01
1.338563338223239e-04	3.434096880297232e+00	1.500000000000000e+01
1.343446150723239e-04	5.954924234755699e+00	1.500000000000000e+01
1.348328963223239e-04	9.175088151048550e+00	1.500000000000000e+01
1.353211775723239e-04	1.284256048051093e+01	1.500000000000000e+01
1.358094588223239e-04	1.667097230776128e+01	1.500000000000000e+01
1.362977400723239e-04	2.036197350295129e+01	1.500000000000000e+01
1.367860213223239e-04	2.362848222974778e+01	1.500000000000000e+01
1.372743025723239e-04	2.621701273002076e+01	1.500000000000000e+01
1.377625838223239e-04	2.792734492892080e+01	1.500000000000000e+01
1.382508650723239e-04	2.865891097815456e+01	1.500000000000000e+01
1.386828384572958e-04	2.841777720799318e+01	1.500000000000000e+01
1.391148283618935e-04	2.730614666948573e+01	1.500000000000000e+01
1.396031096118935e-04	2.515810526375203e+01	1.500000000000000e+01
1.400913908618935e-04	2.225260134841116e+01	1.500000000000000e+01
1.405796721118935e-04	1.878804119900666e+01	1.500000000000000e+01
1.410679533618935e-04	1.503521081900414e+01	1.500000000000000e+01
1.415562346118935e-04	1.128681995115227e+01	1.500000000000000e+01
1.420445158618935e-04	7.834672650059979e+00	1.500000000000000e+01
1.425327971118935e-04	4.946952044570810e+00	1.500000000000000e+01
1.430210783618935e-04	2.847387454632269e+00	1.500000000000000e+01
1.435093596118935e-04	1.635150404353238e+00	1.500000000000000e+01
1.438824981195491e-04	1.434293657703552e+00	1.500000000000000e+01
1.443201691952430e-04	2.064733928770135e+00	1.500000000000000e+01
1.448084504452430e-04	3.681588224485775e+00	1.500000000000000e+01
1.452967316952430e-04	6.149399218465400e+00	1.500000000000000e+01
1.457850129452430e-04	9.301508321859281e+00	1.500000000000000e+01
1.462732941952430e-04	1.289121423362084e+01	1.500000000000000e+01
1.467615754452430e-04	1.663822074284310e+01	1.500000000000000e+01
1.472498566952430e-04	2.025052209332175e+01	1.500000000000000e+01
1.477381379452430e-04	2.344715806169446e+01	1.500000000000000e+01
1.482264191952430e-04	2.598006560026728e+01	1.500000000000000e+01
1.487147004452430e-04	2.765332762090377e+01	1.500000000000000e+01
1.492029816952430e-04	2.836847185650691e+01	1.500000000000000e+01
1.496351353521242e-04	2.813141362912765e+01	1.500000000000000e+01
1.500673369880783e-04	2.704182358638963e+01	1.500000000000000e+01
1.505556182380783e-04	2.493824309120472e+01	1.500000000000000e+01
1.510438994880783e-04	2.209349804169014e+01	1.500000000000000e+01
1.515321807380783e-04	1.870196670792366e+01	1.500000000000000e+01
1.520204619880783e-04	1.502872631647613e+01	1.500000000000000e+01
1.525087432380783e-04	1.136027796852117e+01	1.500000000000000e+01
1.529970244880783e-04	7.982201512131838e+00	1.500000000000000e+01
1.534853057380783e-04	5.156924889447430e+00	1.500000000000000e+01
1.539735869880783e-04	3.103338397895225e+00	1.500000000000000e+01
1.544618682380783e-04	1.918133956448659e+00	1.500000000000000e+01
1.548345107233628e-04	1.722530591920442e+00	1.500000000000000e+01
1.552719401767766e-04	2.339729156560196e+00	1.500000000000000e+01
1.557602214267766e-04	3.922364864019936e+00	1.500000000000000e+01
1.562485026767766e-04	6.337727901798100e+00	1.500000000000000e+01
1.567367839267766e-04	9.422827998993128e+00	1.500000000000000e+01
1.572250651767766e-04	1.293620837257251e+01	1.500000000000000e+01
1.577133464267766e-04	1.660353258757668e+01	1.500000000000000e+01
1.582016276767766e-04	2.013900458403883e+01	1.500000000000000e+01
1.586899089267766e-04	2.326763985154352e+01	1.500000000000000e+01
1.591781901767766e-04	2.574665230999420e+01	1.500000000000000e+01
1.596664714267766e-04	2.738429361810577e+01	1.500000000000000e+01
